season,week,game_id,gameday,away_team,home_team,p_home,actual_home_win,evaluation_type
2008,1,2008_01_WAS_NYG,9/4/2008,WAS,NYG,0.614758235,1,historical
2008,1,2008_01_ARI_SF,9/7/2008,ARI,SF,0.462155751,0,historical
2008,1,2008_01_CAR_SD,9/7/2008,CAR,SD,0.702567339,0,historical
2008,1,2008_01_CHI_IND,9/7/2008,CHI,IND,0.679506932,0,historical
2008,1,2008_01_CIN_BAL,9/7/2008,CIN,BAL,0.502246056,1,historical
2008,1,2008_01_DAL_CLE,9/7/2008,DAL,CLE,0.500961964,0,historical
2008,1,2008_01_DET_ATL,9/7/2008,DET,ATL,0.510655834,1,historical
2008,1,2008_01_HOU_PIT,9/7/2008,HOU,PIT,0.567132844,1,historical
2008,1,2008_01_JAX_TEN,9/7/2008,JAX,TEN,0.493108215,1,historical
2008,1,2008_01_KC_NE,9/7/2008,KC,NE,0.839727642,1,historical
2008,1,2008_01_NYJ_MIA,9/7/2008,NYJ,MIA,0.473984191,0,historical
2008,1,2008_01_SEA_BUF,9/7/2008,SEA,BUF,0.477518062,1,historical
2008,1,2008_01_STL_PHI,9/7/2008,STL,PHI,0.716893238,1,historical
2008,1,2008_01_TB_NO,9/7/2008,TB,NO,0.564072108,1,historical
2008,1,2008_01_DEN_OAK,9/8/2008,DEN,OAK,0.485845689,0,historical
2008,1,2008_01_MIN_GB,9/8/2008,MIN,GB,0.627719109,1,historical
2008,2,2008_02_ATL_TB,9/14/2008,ATL,TB,0.57475114,1,historical
2008,2,2008_02_BUF_JAX,9/14/2008,BUF,JAX,0.592915268,0,historical
2008,2,2008_02_CHI_CAR,9/14/2008,CHI,CAR,0.476840552,1,historical
2008,2,2008_02_GB_DET,9/14/2008,GB,DET,0.337017055,0,historical
2008,2,2008_02_IND_MIN,9/14/2008,IND,MIN,0.484086136,0,historical
2008,2,2008_02_MIA_ARI,9/14/2008,MIA,ARI,0.749045209,1,historical
2008,2,2008_02_NE_NYJ,9/14/2008,NE,NYJ,0.27770209,0,historical
2008,2,2008_02_NO_WAS,9/14/2008,NO,WAS,0.567730371,1,historical
2008,2,2008_02_NYG_STL,9/14/2008,NYG,STL,0.290141507,0,historical
2008,2,2008_02_OAK_KC,9/14/2008,OAK,KC,0.586882963,0,historical
2008,2,2008_02_PIT_CLE,9/14/2008,PIT,CLE,0.433871998,0,historical
2008,2,2008_02_SD_DEN,9/14/2008,SD,DEN,0.479509012,1,historical
2008,2,2008_02_SF_SEA,9/14/2008,SF,SEA,0.683983852,0,historical
2008,2,2008_02_TEN_CIN,9/14/2008,TEN,CIN,0.456992822,0,historical
2008,2,2008_02_PHI_DAL,9/15/2008,PHI,DAL,0.596158481,1,historical
